Name Space,AsOnSphere,ProjectName,URL,ResourceType
europeana_p_cuc,Coimbra University Library,Coimbra University Library,http://www.uc.pt/en/bguc,
europeana_p_pm,City Library of Porto,City Library of Porto,http://bmp.cm-porto.pt/,
europeana_pl_wm,National Museum- Warsaw,National Museum- Warsaw,http://www.mnw.art.pl/en/,
europeana_regione_del_veneto,Church of St. Mary of the Consolation- Venice,The Music Fund of the Church of St. Mary of the Consolation- Venice,,
europeana_repositorio_andalucia,Andalucian Virtual Library,Andalucian Virtual Library,http://www2.youseemore.com/andalusia/default.asp,
europeana_vanersborgs_museum,Vanersborgs Museum,Vanersborgs Museum,http://www.vanersborgsmuseum.se/,
evfl,In Transition,In Transition: Selected Poems by the Baroness Elsa von Freytag-Loringhoven,http://digital.lib.umd.edu/transition/,Digital Library/ Collection
exhibit_NINES_5,Exhibit Nines 5,Nineteenth-century Scholarship Online: Peer-Reviewed Essays,http://www.nines.org/groups/nines,
exhibit_NINES_4,Exhibit Nines 4,Nineteenth-century Scholarship Online: The Poetess Archive Journal,https://journals.tdl.org/paj/index.php/paj/issue/archive,
exhibit_NINES_1,Exhibit Nines 1,Nineteenth-century Scholarship Online: Victorians Institute Journal Annex,http://victoriansinstitute.org/resources/,
fbtee_stn,FBTEE 1769-1794,The French Book Trade in Enlightenment Europe- 1769-1794,http://chop.leeds.ac.uk/stn/,Born Digital resource
fieldCommons,Field Museum,The Field Museum Library on Flickr Commons,http://www.flickr.com/people/field_museum_library/,Flickr
flp,Philadelphia,Free Library of Philadelphia Medieval Manuscripts,http://libwww.freelibrary.org/medievalman/index.cfm,manuscripts
g7ldb,Letters of Pope Gregory,Database of the Letters of Pope Gregory VII,http://www.g7ldb.history.uni-tuebingen.de,
gldl,Great Lakes Digital Library,Great Lakes Digital Library,https://gldl.overdrive.com/,
glmari,Great Lakes Maritime,Great Lakes Maritime Database,https://quod.lib.umich.edu/t/tbnms1ic,
goslartograsmere,Goslar to Grasmere,From Goslar to Grasmere (William Wordsworth: Electronic Manuscripts),http://collections.wordsworth.org.uk/gtog/home.asp?,Digital Library/ Collection
hmo,Historical Maps Online,Historical Maps Online,https://digital.library.illinois.edu/collections/810d3fa0-e3fb-012f-c5b6-0019b9e633c5-a,
HRIOnline_Ruskin,Ruskin,Ruskin at Walkley (Reconstructing the St. George's Museum),http://www.ruskinatwalkley.org/,digital reconstruction
ibio,North American Indian,North American Indian Thought and Culture,http://alexanderstreet.com/products/north-american-indian-thought-and-culture,Alexander Street
intelexAbelardLa,Abelard,Peter Abelard: Opera Electronic Edition (InteLex),http://www.nlx.com/collections/3,InteLex
intelexAnselm,Anselm,The Major Works of Anselm of Canterbury (InteLex),http://www.nlx.com/collections/5,InteLex
intelexAquinas,Aquinas Works,The Collected Works of St. Thomas Aquinus Elect Ed. (InteLex),http://www.nlx.com/collections/7,InteLex
intelexAugustine,Augustine,The Works of St. Augustine,http://www.nlx.com/collections/148,InteLex
intelexAugustineLa,Augustine Opera,Saint Augustine: Opera Omnia CAG Electronic Edition (InteLex),http://www.nlx.com/collections/11,InteLex
intelexAustenWorksLetters,Jane Austen,The Complete Works and Letters of Jane Austen.  Elect Ed. (InteLex),http://pinfo.nlx.com/collections/12,InteLex
intelexBaillieLetters,Joanna Baillie,The Collected Letters of Joanna Baillie Electronic Edition (InteLex),http://pinfo.nlx.com/collections/18,InteLex
intelexBritishPhilosophy,British Philosophy,British Philosophy: 1600-1900 (InteLex),http://pinfo.nlx.com/collections/26,InteLex
intelexBronteLetters,Bronte Letters,The Letters of Charlotte Bronte (InteLex),http://pinfo.nlx.com/collections/27,InteLex
intelexBrowning,Barrett Browning,The Works of Elizabeth Barett Browning,http://www.nlx.com/collections/168,InteLex
intelexColeridge,Coleridge Letters,The Collected Letters of Samuel Taylor Coleridge. Elect Ed. (InteLex),http://pinfo.nlx.com/collections/33,InteLex
intelexDarwin,Charles Darwin,The Works of Charles Darwin Electronic Edition (InteLex),http://pinfo.nlx.com/collections/37,InteLex
intelexDickens,Dickens Letters,The Letters of Charles Dickens: 1820-1870. (2nd Release). Elect Ed. (InteLex),http://pinfo.nlx.com/collections/43,InteLex
intelexEdgeworth,Edgeworth,The Works of Maria Edgeworth (InteLex),http://www.nlx.com/collections/170,InteLex
intelexEliot,George Eliot,The Complete Works of George Eliot (InteLex),http://pinfo.nlx.com/collections/46,InteLex
intelexEmersonCollectedWorks,Emerson Works,The Collected Works of Ralph Waldo Emerson. Elect Ed. (InteLex),http://pinfo.nlx.com/collections/49,InteLex
intelexEmersonJournals,Emerson Journals,The Journals and Miscellaneous Notebooks of Ralph Waldo Emerson Elect Ed (InteLex),http://pinfo.nlx.com/collections/50,InteLex
intelexEmersonLectures,Emerson Lectures,The Early Lectures of Ralph Waldo Emerson ElectrEd (InteLex),http://pinfo.nlx.com/collections/51,InteLex
intelexGladstone,Gladstone Diaries,The Diaries of William Gladstone. Elect Ed. (InteLex),http://pinfo.nlx.com/collections/56,InteLex
intelexHardy,Thomas Hardy,The Collected Letters of Thomas Hardy Electronic Edition (InteLex),http://pinfo.nlx.com/collections/57,InteLex
intelexLamb,Caroline Lamb,The Works of Lady Caroline Lamb,http://www.nlx.com/collections/173,InteLex
intelexLewes,Lewes Letters,The Letters of George Henry Lewes (InteLex),http://www.nlx.com/collections/131,InteLex
intelexMarx,Marx & Engels,The Collected Works of Marx and Engels Electronic Edition (InteLex),http://pinfo.nlx.com/collections/84,InteLex
intelexNewman,John Henry Newman,The Letters and Diaries of John Henry Newman Electronic Edition (InteLex),http://www.nlx.com/collections/88,InteLex
intelexRomanticAge,Romantic Age,The Romantic Age Electronic Edition (InteLex),http://pinfo.nlx.com/collections/105,InteLex
intelexShelleyJournals,Mary Shelley Journals,The Journals of Mary Shelley (InteLex),http://pinfo.nlx.com/collections/110,InteLex
intelexShelleyWorks,Mary Shelley Works,The Novels and Selected Works of Mary Shelley (InteLex),http://pinfo.nlx.com/collections/109,InteLex
intelexTennyson,Tennyson Letters,The Collected Letters of Alfred Lord Tennyson (InteLex),http://pinfo.nlx.com/collections/118,InteLex
intelexWilliamJames,James Works,The Works of William James Electronic Edition.  (InteLex),http://www.nlx.com/collections/66,InteLex
intelexWilliamJamesCorrespondence,James Correspondence,The Correspondence of William James (InteLex),http://www.nlx.com/collections/67,InteLex
intelexWordsworth,The Wordsworths,The Collected Letters of the Wordsworths Elect Ed. (InteLex),http://pinfo.nlx.com/collections/129,InteLex
isu_voe,Voices of Extremism,Illinois State University: Voices of Extremism,http://digital.library.illinoisstate.edu/cdm/landingpage/collection/p15990coll1,
